"mapping_id","entity_type","old_url","new_url","status","note"
"MAP-0091","lesson","https://academy.octopus.be/nl/lessons/gebruik-maken-van-het-klantenportaal/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/gebruik-maken-van-het-klantenportaal/","301",""
"MAP-0092","lesson","https://academy.octopus.be/nl/lessons/gespreide-kosten/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/gespreide-kosten/","301",""
"MAP-0093","lesson","https://academy.octopus.be/nl/lessons/historieken/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/historieken/","301",""
"MAP-0094","lesson","https://academy.octopus.be/nl/lessons/hoe-octopus-bestellen/","https://academy.octopus.be/nl/cursussen/met-het-pakket-starten/lessons/hoe-octopus-bestellen/","301",""
"MAP-0095","lesson","https://academy.octopus.be/nl/lessons/installatie-facturatiemodule/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/installatie-facturatiemodule/","301",""
"MAP-0096","lesson","https://academy.octopus.be/nl/lessons/installatie-van-het-klantenportaal/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/installatie-van-het-klantenportaal/","301","Bevestigd via canonical en course links naar klantenportaal."
"MAP-0097","lesson","https://academy.octopus.be/nl/lessons/intrastat-aangifte/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/intrastat-aangifte/","301",""
"MAP-0098","lesson","https://academy.octopus.be/nl/lessons/introductie/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/introductie/","301",""
"MAP-0099","lesson","https://academy.octopus.be/nl/lessons/intro-een-eerste-rondleiding-in-octopus/","https://academy.octopus.be/nl/cursussen/met-het-pakket-starten/lessons/intro-een-eerste-rondleiding-in-octopus/","301",""
"MAP-0100","lesson","https://academy.octopus.be/nl/lessons/intro-facturatie/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/intro-facturatie/","301",""
"MAP-0101","lesson","https://academy.octopus.be/nl/lessons/investeringsaftrek/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/investeringsaftrek/","301",""
"MAP-0102","lesson","https://academy.octopus.be/nl/lessons/investeringsoverzicht-en-afschrijvingstabel/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/investeringsoverzicht-en-afschrijvingstabel/","301",""
"MAP-0103","lesson","https://academy.octopus.be/nl/lessons/les-3/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/les-3/","301","Legacy slug is generiek; voorlopig onder klantenportaal geplaatst, finale rename voorzien bij content cleanup."
"MAP-0104","lesson","https://academy.octopus.be/nl/lessons/les-4/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/les-4/","301","Titel verwijst naar klantenportaal voor ondernemers; gemapt onder klantenportaal."
"MAP-0105","lesson","https://academy.octopus.be/nl/lessons/muntcodes/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/muntcodes/","301",""
"MAP-0106","lesson","https://academy.octopus.be/nl/lessons/nazicht-klanten-of-leveranciers/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/nazicht-klanten-of-leveranciers/","301",""
"MAP-0107","lesson","https://academy.octopus.be/nl/lessons/nazicht-rekeningen/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/nazicht-rekeningen/","301",""
