url,path,content_type,source_sitemap,lastmod,suspected_test_page,has_uppercase_path,potential_duplicate_group
https://academy.octopus.be/nl/lessons/uploaden-doc-via-div/,/nl/lessons/uploaden-doc-via-div/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:46:18+00:00,no,no,/nl/lessons/uploaden-doc-via-div
https://academy.octopus.be/nl/lessons/doorsturen-doc-via-de-unieke-e-mailadressen/,/nl/lessons/doorsturen-doc-via-de-unieke-e-mailadressen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:44:46+00:00,no,no,/nl/lessons/doorsturen-doc-via-de-unieke-e-mailadressen
https://academy.octopus.be/nl/lessons/document-koppelen-tijden-het-boeken-via-div/,/nl/lessons/document-koppelen-tijden-het-boeken-via-div/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:43:01+00:00,no,no,/nl/lessons/document-koppelen-tijden-het-boeken-via-div
https://academy.octopus.be/nl/lessons/document-achteraf-koppelen-via-drag-drop/,/nl/lessons/document-achteraf-koppelen-via-drag-drop/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:41:33+00:00,no,no,/nl/lessons/document-achteraf-koppelen-via-drag-drop
https://academy.octopus.be/nl/lessons/opzoeken-gekoppeld-document-2/,/nl/lessons/opzoeken-gekoppeld-document-2/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:40:02+00:00,no,no,/nl/lessons/opzoeken-gekoppeld-document-2
https://academy.octopus.be/nl/lessons/dms-audit/,/nl/lessons/dms-audit/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:38:36+00:00,no,no,/nl/lessons/dms-audit
https://academy.octopus.be/nl/lessons/backup-nemen-van-documenten-bewaard-in-dms/,/nl/lessons/backup-nemen-van-documenten-bewaard-in-dms/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:37:08+00:00,no,no,/nl/lessons/backup-nemen-van-documenten-bewaard-in-dms
https://academy.octopus.be/nl/lessons/facturen-ontvangen-via-peppol/,/nl/lessons/facturen-ontvangen-via-peppol/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:35:47+00:00,no,no,/nl/lessons/facturen-ontvangen-via-peppol
https://academy.octopus.be/nl/lessons/facturen-verzenden-via-peppol/,/nl/lessons/facturen-verzenden-via-peppol/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:34:28+00:00,no,no,/nl/lessons/facturen-verzenden-via-peppol
https://academy.octopus.be/nl/lessons/coda-mandaat-zelf-importeren/,/nl/lessons/coda-mandaat-zelf-importeren/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:28:45+00:00,no,no,/nl/lessons/coda-mandaat-zelf-importeren
https://academy.octopus.be/nl/lessons/afpunten-wachtrekening/,/nl/lessons/afpunten-wachtrekening/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:26:30+00:00,no,no,/nl/lessons/afpunten-wachtrekening
https://academy.octopus.be/nl/lessons/hoe-octopus-bestellen/,/nl/lessons/hoe-octopus-bestellen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:49:16+00:00,no,no,/nl/lessons/hoe-octopus-bestellen
https://academy.octopus.be/nl/lessons/gebruik-maken-van-de-app-realtime/,/nl/lessons/gebruik-maken-van-de-app-realtime/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:25:51+00:00,no,no,/nl/lessons/gebruik-maken-van-de-app-realtime
https://academy.octopus.be/nl/lessons/gebruik-maken-van-het-klantenportaal/,/nl/lessons/gebruik-maken-van-het-klantenportaal/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:23:51+00:00,no,no,/nl/lessons/gebruik-maken-van-het-klantenportaal
https://academy.octopus.be/nl/lessons/introductie/,/nl/lessons/introductie/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:20:43+00:00,no,no,/nl/lessons/introductie
https://academy.octopus.be/nl/lessons/verkoopfacturen-2/,/nl/lessons/verkoopfacturen-2/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:19:23+00:00,no,no,/nl/lessons/verkoopfacturen-2
https://academy.octopus.be/nl/lessons/aankoopfacturen/,/nl/lessons/aankoopfacturen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:18:08+00:00,no,no,/nl/lessons/aankoopfacturen
https://academy.octopus.be/nl/lessons/les-4/,/nl/lessons/les-4/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:17:09+00:00,no,no,/nl/lessons/les-4
https://academy.octopus.be/nl/lessons/werken-met-het-klantenportaal-voor-accountants/,/nl/lessons/werken-met-het-klantenportaal-voor-accountants/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:15:03+00:00,no,no,/nl/lessons/werken-met-het-klantenportaal-voor-accountants
https://academy.octopus.be/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2-2/,/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2-2/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T11:01:08+00:00,no,no,/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2-2
https://academy.octopus.be/nl/lessons/e-invoicing-in-het-klantenportaal-voor-ondernemers/,/nl/lessons/e-invoicing-in-het-klantenportaal-voor-ondernemers/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T10:55:41+00:00,no,no,/nl/lessons/e-invoicing-in-het-klantenportaal-voor-ondernemers
https://academy.octopus.be/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2/,/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T10:50:16+00:00,no,no,/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2
